ID,Airport,City,Country
10218,Wien Hauptbahnhof,Vienna,Austria
10219,Gare de Chartres,Chartres,France
10220,Gare de Nogent-le-Rotrou,Nogent-le-Rotrou,France
10221,Guilin Railway Station,Guilin,China
10222,Zurich-HB,Zurich,Switzerland
10223,Ogilvie Transportation Center,Chicago,United States
10224,Potsdam Hauptbahnhof,Potsdam,Germany
10225,Oak Park Station,Oak Park,United States
10226,River Forest Station,River Forest,United States
10227,Brandenburg Hbf,Brandenburg,Germany
10228,Magdeburg Hbf,Magdeburg,Germany
10229,Dessau Hauptbahnhof,Dessau,Germany
10230,Gare de Lille Europe,Lille,France
10231,Gare de Calais-Frethun,Calais,France
10232,Melrose Park Station,Melrose Park,United States
10233,Bellwood Station,Bellwood,United States
10234,Berkeley METRA Station,Berkeley,United States
10235,Elmhurst Station,Elmhurst,United States
10236,Villa Park Station,Villa Park,United States
10237,Lombard Station,Lombard,United States
10238,Glen Ellyn Station,Glen Ellyn,United States
10239,College Avenue Station,Wheaton,United States
10240,Wheaton Station,Wheaton,United States
10241,Winfield Station,Winfield,United States
10242,West Chicago Station,West Chicago,United States
10243,Geneva Station,Geneva,United States
10244,Milwaukee Intermodal Station,Milwaukee,United States
10245,Pennsylvania Railroad Station,Fort Wayne,United States
10246,Helsinki Central Railway Station,Helsinki,Finland
10247,Nanjing South Railway Station,Nanjing,China
10248,Ashford International Railway Station,Ashford,United Kingdom
10249,Lucerne Railway Station,Lucerne,Switzerland
10250,Doncaster Railway Station,Doncaster,United Kingdom
10251,Leipzig Hauptbahnhof,Leipzig,Germany
10252,Niagara Falls Station,Niagara Falls,Canada
10253,Ebbsfleet International Railway Station,Ebbsfleet Valley,United Kingdom
10254,Stratford International Station,London,United Kingdom
10255,Clybourn Station,Chicago,United States
10256,Ravenswood Station,Chicago,United States
10257,Rogers Park Station,Chicago,United States
10258,Evanston Main Street Station,Evanston,United States
10259,Badu Station,Keelung,Taiwan
10260,Keelung Station,Keelung,Taiwan
