AirlineID,Name,Country,Active
1547,Bombardier Business Jet Solutions,UnitedStates,N
1548,Bulgaria Air,Bulgaria,Y
1549,Brazilian Navy Aviation,Brazil,N
1550,Barents AirLink,Sweden,Y
1551,Belgian Navy,Belgium,N
1552,Bakoji Airlines Services,Nigeria,N
1553,Benders Air,Sweden,N
1554,Balmoral Central Contracts,SouthAfrica,N
1555,BGB Air,Kazakhstan,N
1556,Butte Aviation,UnitedStates,N
1557,Bond Air Services,UnitedKingdom,N
1558,Business Airfreight,UnitedStates,N
1559,BAC Express Airlines,UnitedKingdom,N
1560,Boscombe Down DERA (Formation),UnitedKingdom,N
1561,Business Jet Sweden,Sweden,N
1562,British Airways Shuttle,UnitedKingdom,N
1563,British Sky Broadcasting,UnitedKingdom,N
1564,Bell Helicopter Textron,Canada,N
1565,Buzzaway Limited,UnitedKingdom,N
1566,Biz Jet Charter,UnitedStates,N
1567,Blue Chip Jet,Sweden,N
1568,BAE Systems,UnitedKingdom,N
1569,BAE Systems,UnitedKingdom,N
1570,Baseops International,UnitedStates,N
1571,Bureau Veritas,France,N
1572,British Airways,UnitedKingdom,N
1573,Boskovic Air Charters Limited,Kenya,N
1574,C Air Jet Airlines,SyrianArabRepublic,N
1575,C N Air,Spain,N
1576,C and M Aviation,UnitedStates,N
1577,C&M Airways,UnitedStates,N
1578,C.S.P.,AIR-MAUR,N
1579,CABI,Ukraine,N
1580,CAI,Italy,N
1581,CAL Cargo Air Lines,Israel,Y
1582,CAM Air Management,UnitedKingdom,N
1583,CATA L,Argentina,N
1584,CCF Manager Airline,Germany,N
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),Ecuador,N
1586,CHC Denmark,Denmark,N
1587,CHC Helicopters,Australia,N
1588,CHC Airways,Netherlands,N
1589,CHC Helikopter Service,Norway,N
1590,CI-Tours,IvoryCoast,N
1591,CKC Services,UnitedStates,N
1592,CM Stair,Mauritania,N
1593,CNET,France,N
1594,COAPA AIR,Mexico,N
1595,COMAV,Namibia,N
1596,CRI Helicopters Mexico,Mexico,N
1597,CSA Air,UnitedStates,N
1598,CSE Aviation,UnitedKingdom,N
1599,CTK Network Aviation,Ghana,N
1600,Cabair College of Air Training,UnitedKingdom,N
1601,Cabo Verde Express,CapeVerde,N
1602,Caernarfon Airworld,UnitedKingdom,N
1603,Cairo Air Transport Company,Egypt,N
1604,Cal Gulf Aviation,SaoTomeandPrincipe,N
1605,Cal-West Aviation,UnitedStates,N
1606,California Air Shuttle,UnitedStates,N
1607,Calima Aviacion,Spain,Y
1608,Calm Air,Canada,N
1609,Camai Air,UnitedStates,N
1610,Cambodia Airlines,Cambodia,N
1611,Cameroon Airlines,Cameroon,N
1612,Campania Helicopteros De Transporte,Spain,N
1613,CanJet,Canada,N
1614,Canada Jet Charters,Canada,N
1615,Canadian Airlines,Canada,Y
1616,Canadian Coast Guard,Canada,N
1617,Canadian Eagle Aviation,Canada,N
1618,Canadian Forces,Canada,N
1619,Canadian Global Air Ambulance,Canada,N
1620,Canadian Helicopters,Canada,N
1621,Canadian Interagency Forest Fire Centre,Canada,N
1622,Canadian National Telecommunications,Canada,N
1623,Canadian North,Canada,Y
1624,Canadian Regional Airlines,Canada,N
1625,Canadian Warplane Heritage Museum,Canada,N
1626,Canadian Western Airlines,Canada,N
1627,Canair,China,N
1628,Cancun Air,Mexico,N
1629,Cape Air,UnitedStates,Y
1630,Cape Air Transport,Australia,N
1631,Cape Central Airways,UnitedStates,N
1632,Cape Smythe Air,UnitedStates,N
1633,Capital Air Service,UnitedStates,N
1634,Capital Airlines,Kenya,N
1635,Capital Airlines Limited,Nigeria,N
1636,Capital Cargo International Airlines,UnitedStates,N
1637,Capital City Air Carriers,UnitedStates,N
1638,Capital Trading Aviation,UnitedKingdom,N
1639,Capitol Air Express,UnitedStates,N
1640,Capitol Wings Airline,UnitedStates,N
1641,Caravan Air,Mauritania,N
1642,Cardiff Wales Flying Club,UnitedKingdom,N
1643,Cardinal/Air Virginia,UnitedStates,N
1644,Cardolaar,Namibia,N
1645,Cards Air Services,Philippines,N
1646,Care Flight,Australia,N
1647,Carga Aerea Dominicana,DominicanRepublic,N
1648,Carga Express Internacional,Mexico,N
1649,Cargo 360,UnitedStates,N
1650,Cargo Express,Mauritania,N
1651,Cargo Ivoire,IvoryCoast,N
1652,Cargo Link (Caribbean),Barbados,N
1653,Cargo Three,Panama,N
1654,Cargoitalia,Italy,N
1655,Cargojet Airways,Canada,N
1656,Cargolux,Luxembourg,N
1657,Cargoman,Oman,N
1658,Carib Aviation,AntiguaandBarbuda,N
1659,Carib Express,Barbados,N
1660,Caribair,DominicanRepublic,N
1661,Caribbean Air Cargo,Barbados,N
1662,Caribbean Air Transport,Netherlands,N
1663,Caribbean Airlines,TrinidadandTobago,Y
1664,Caribbean Airways,Barbados,N
1665,Caribbean Express,UnitedStates,N
1666,Caribbean Star Airlines,AntiguaandBarbuda,N
1667,Caribintair,Haiti,N
1668,Carill Aviation,UnitedKingdom,N
1669,Carpatair,Romania,Y
1670,Carranza,Chile,N
1671,Carroll Air Service,UnitedStates,N
1672,Casement Aviation,UnitedStates,N
1673,Casino Airline,UnitedStates,N
1674,Casper Air Service,UnitedStates,N
1675,Caspian Airlines,Iran,Y
1676,Castle Aviation,UnitedStates,N
1677,Cat Aviation,Switzerland,N
1678,Catalina Flying Boats,UnitedStates,N
1679,Catex,France,N
1680,Cathay Pacific,HongKongSARofChina,Y
1681,Caverton Helicopters,Nigeria,N
1682,Cayman Airways,CaymanIslands,Y
1683,Cebu Pacific,Philippines,Y
1684,Cecil Aviation,UnitedKingdom,N
1685,Cega Aviation,UnitedKingdom,N
1686,Celtic Airways,UnitedKingdom,N
1687,Celtic West,UnitedKingdom,N
1688,Centavia,Serbia,N
1689,Cente D'Essais En Vol,France,N
1690,Centennial Airlines,UnitedStates,N
1691,Centennial Flight Centre,Canada,N
1692,Center Vol,Spain,N
1693,Center-South,Russia,N
1694,Centrafrican Airlines,CentralAfricanRepublic,N
1695,Central Air Express,DemocraticRepublicofCongo,N
1696,Central Airlines,UnitedStates,N
1697,Central Airways,SierraLeone,N
1698,Central American Airlines,Nicaragua,N
1699,Central Aviation,UnitedStates,N
1700,Central Connect Airlines,CzechRepublic,Y
1701,Central De Discos De Reynosa,Mexico,N
1702,Central European Airlines,CzechRepublic,N
1703,Central Flying Service,UnitedStates,N
1704,Central Mongolia Airways,Mongolia,N
1705,Central Mountain Air,Canada,N
1706,Central Queensland Aviation College,Australia,N
1707,Central Skyport,UnitedStates,N
1708,Centralwings,Poland,Y
1709,Centre Airlines,UnitedStates,N
1710,Centre of Applied Geodynamica,Russia,N
1711,Centre-Avia,Russia,N
1712,Centro De Helicopteros Corporativos,Mexico,N
1713,Centro de Formacion Aeronautica de Canarias,Spain,N
1714,Centurion Air Cargo,UnitedStates,N
1715,Century Aviation,Mexico,N
1716,Century Aviation International,Canada,N
1717,Certified Air Dispatch,UnitedStates,N
1718,Cetraca Aviation Service,DemocraticRepublicoftheCongo,N
1719,Chabahar Airlines,Iran,N
1720,Chalair Aviation,France,N
1721,Chalk's Ocean Airways,UnitedStates,N
1722,Challenge Air Transport,Germany,N
1723,Challenge Aviation,Australia,N
1724,Challenge International Airlines,UnitedStates,N
1725,AC Challenge Aero,Ukraine,N
1726,Champagne Airlines,France,N
1727,Champion Air,UnitedStates,N
1728,Chanchangi Airlines,Nigeria,N
1729,Changan Airlines,China,N
1730,Channel Island Aviation,UnitedStates,N
1731,Chantilly Air,UnitedStates,N
1732,Chaparral Airlines,UnitedStates,N
1733,Chari Aviation Services,Chad,N
1734,Charlan Air Charter,SouthAfrica,N
1735,Charlie Hammonds Flying Service,UnitedStates,N
1736,Charlotte Air National Guard,UnitedStates,N
1737,Charter Air,Austria,Y
1738,Chartright Air,Canada,N
1739,Chautauqua Airlines,UnitedStates,Y
1740,Cheboksary Airenterprise JSC,Russia,N
1741,Chemech Aviation,Pakistan,N
1742,Cherline,Russia,N
1743,Chernomor-Avia,Russia,N
1744,Cherokee Express,UnitedStates,N
1745,Cherry Air,UnitedStates,N
1746,Chesapeake Air Service,UnitedStates,N
1747,Chevron U.S.A,UnitedStates,N
1748,Cheyenne Airways,UnitedStates,N
1749,Chicago Air,UnitedStates,N
1750,Chicago Express,UnitedStates,N
1751,Chief Rat Flight Services,SouthAfrica,N
1752,Chilchota Taxi Aereo,Mexico,N
1753,Chilcotin Caribou Aviation,Canada,N
1754,Chilliwack Aviation,Canada,N
1755,Chim-Nir Aviation,Israel,N
1756,China Airlines,Taiwan,Y
1757,China Cargo Airlines,China,N
1758,China Eastern Airlines,China,Y
1759,China Express Airlines,China,N
1760,China Flying Dragon Aviation,China,N
1761,China General Aviation Corporation,China,N
1762,China National Aviation Corporation,China,N
1763,China Northern Airlines,China,N
1764,China Northwest Airlines,China,N
1765,China Ocean Helicopter Corporation,China,N
1766,China Postal Airlines,China,N
1767,China Southern Airlines,China,Y
1768,China Southwest Airlines,China,N
1769,China United Airlines,China,Y
1770,China Xinhua Airlines,China,N
1771,Yunnan Airlines,China,Y
1772,Chinguetti Airlines,Mauritania,N
1773,Chipola Aviation,UnitedStates,N
1774,Chippewa Air Commuter,UnitedStates,N
1775,Chitaavia,Russia,N
1776,Christman Air System,UnitedStates,N
1777,Christophorus Flugrettungsverein,Austria,N
1778,Chrome Air Services,UnitedStates,N
1779,Church Aircraft,UnitedStates,N
1780,Cielos Airlines,Peru,N
1781,Cimber Air,Denmark,Y
1782,Cirrus,Chile,N
1783,Cirrus Air,UnitedStates,N
1784,Cirrus Airlines,Germany,Y
1785,Cirrus Middle East,Lebanon,N
1786,Citationshares,UnitedStates,N
1787,Citibank,UnitedStates,N
1788,Citic General Aviation,China,N
1789,City Airline,Sweden,Y
1790,City Connexion Airlines,Burundi,Y
1791,City of Bangor,UnitedStates,N
1792,CityJet,Ireland,Y
1793,Cityair (Chester) Limited,UnitedKingdom,N
1794,Cityfly,Italy,N
1795,BA CityFlyer,UnitedKingdom,Y
1796,Cityline Hungary,Hungary,N
1797,Citylink Airlines,UnitedStates,N
1798,Civair Airways,SouthAfrica,N
1799,Civil Air Patrol South Carolina Wing,UnitedStates,N
1800,Civil Air Transport,Taiwan,N
1801,Civil Aviation Authority,Slovakia,N
1802,Civil Aviation Authority of New Zealand,NewZealand,N
1803,Civil Aviation Inspectorate of the Czech Republic,CzechRepublic,N
1804,Claessens International Limited,UnitedKingdom,N
